TEST ID	TEST CASE	PRE-CONDITIONS	PRECEDENCE	COMPLEXITY	PRE_CON_COUNT	WEIGHTAGE	DIFF
PAY_INIT_001	Check load of Payment page	PAY_BUTTON_002	H	9	22	206.1	6.099999999999994
HOME_001	Test load of Home Page	LOAD_001	H	9	16	152.1	47.900000000000006
LOAD_001	Test Page load functionality through URL	None	H	8	12	103.2	96.8
PAY_PORTAL_003	Test redirect to Confirmation Page	PAY_PORTAL_002	H	8	8	71.2	128.8
PAY_PORTAL_002	Test Transaction confirmation	PAY_INIT_002	H	10	6	69.0	131.0
PAY_INIT_002	Test payment initiation	PAY_BUTTON_002	H	9	6	62.1	137.9
PAYMENT_OPT_003	Test display of Options based on method	PAY_INIT_001	M	4	15	62.0	138.0
PAY_BUTTON_002	Test Pay button functionality	PAY_BUTTON_001	M	4	13	54.0	146.0
CONFIRM_001	Test load of Confirmation Page	PAY_PORTAL_003	M	5	6	32.5	167.5
UPI_002	Test choose of UPI option	UPI_001	H	6	4	29.400000000000002	170.6
EVENT_DETAIL_001	Test load of Page for particular event	None	H	6	4	29.400000000000002	170.6
SEATS_003	Test choose seat from layout	SEATS_002	H	10	2	29.0	171.0
SEATS_002	Check view of seat layout	SEATS_001	H	9	2	26.099999999999998	173.9
BOOK_LOAD_001	Test load Page for booking ticket	None	M	7	3	24.5	175.5
MOVIE_LOAD_001	Test load page for Particular Movie	None	H	6	3	23.4	176.6
SHOWTIME_002	Test Choice of Showtime	SHOWTIME_001	H	6	3	23.4	176.6
EVENT_DETAIL_004	Test Book button Functionality	EVENT_DETAIL_001	L	7	3	21.7	178.3
CATEGORY_001	Test Choose Category Functionality	HOME_001	M	6	3	21.0	179.0
SIGN_IN_001	Check initiation of Sign In	HOME_001	H	3	6	20.700000000000003	179.3
BOOK_EVENT_004	Test choice of seats	BOOK_EVENT_003	H	10	1	19.0	181.0
UPI_001	Check display of UPI options	PAYMENT_OPT_003	L	3	6	18.299999999999997	181.7
SEARCHBAR_001	Check Input of Searchbar	HOME_001	H	3	5	17.700000000000003	182.3
MOB_WALLET_002	Test make choice of Wallet option	PAYMENT_OPT_003	H	5	2	14.5	185.5
VOUCHER_003	Check if voucher has been applied	VOUCHER_003	M	5	2	12.5	187.5
RECOMMEND_001	Check Recommended list while Search	SEARCHBAR_001	M	7	1	10.5	189.5
SHOWTIME_001	Check view of Showtimes & Cinema	BOOK_LOAD_001	M	4	2	10.0	190.0
BOOK_EVENT_003	Test Add & Remove person functionality	BOOK_EVENT_001	M	4	2	10.0	190.0
SEATS_001	Test choice of Number of Seats	SHOWTIME_002	L	3	3	9.3	190.7
SELECT_CITY_001	Test City Choice using Icons	LOAD_001	M	6	1	9.0	191.0
SEARCHBAR_003	Test Search Functionality	SEARCHBAR_001	H	10	0	9.0	191.0
SEATS_004	Test lock of chosen seats	SEATS_001	H	10	0	9.0	191.0
SELECT_CITY_003	Test City Choice from Region List	LOAD_001	H	4	1	7.6	192.4
SELECT_CITY_002	Test Search City using Search Bar	LOAD_001	M	5	1	7.5	192.5
SESSION_002	Test Session Timeout	PAY_INIT_001	M	3	2	7.5	192.5
PAY_PORTAL_001	Test load of Payment Portal Page	PAY_INIT_002	H	8	0	7.2	192.8
LOGIN_001	Test Login functionality	SIGN_IN_001	H	8	0	7.2	192.8
SIGN_UP_002	Test Sign Up functionality	SIGN_UP_001	H	8	0	7.2	192.8
BOOK_EVENT_001	Check view of Event time	EVENT_DETAIL_004	M	2	3	7.0	193.0
EVENT_CONFIRM_002	Test transfer to Confirmation Page after payment	PAY_PORTAL_003	H	7	0	6.3	193.7
CONFIRM_002	Check confirmed movie details display	CONFIRM_001	H	7	0	6.3	193.7
EVENT_CONFIRM_001	Test transfer to Payment Init	BOOK_EVENT_004	H	6	0	5.4	194.6
BOOK_DATE_001	Test Date Choice for show	BOOK_LOAD_001	H	6	0	5.4	194.6
CONTACT_001	Test input of contact details	PAY_INIT_001	H	6	0	5.4	194.6
CARD_001	Check Make Payment button function	PAYMENT_OPT_003	H	6	0	5.4	194.6
